Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
Nothing Before Coffee,"Cafe, Coffee, Beverages, Street Food, Desserts",4.1,₹500 for two,2.7,"New Palasia, Indore","Perfect Place, Warm Atmosphere, Good Bartenders"
Al Arabi Falafel,Arabian,4.7,₹200 for two,3.5,"Old Palasia, Indore","Quantity, Memorable Experience, Ambience"
Minshul Restaurant,"Fast Food, North Indian, Sandwich, Biryani, Beverages",-,₹400 for two,5.0,"Mangal City Mall, Vijay Nagar, Indore","Live Sports Screening, Main Course, Efficient Service"
Neelkanth Thali,North Indian,2.6,₹450 for two,5.5,"Vijay Nagar, Indore","Sustainable Practices, Comfortable Seating, Consistent Quality"
Splash Bar & Grill,"North Indian, Mughlai, Italian, Salad, Pasta, Desserts, Beverages",3.7,"₹3,000 for two",5.1,"By Pass Road (North), Indore","Live Sports Screening, Cozy Ambiance, Memorable Experience"
Lighthouse - The Club,"North Indian, Mughlai, Kebab, Seafood, Chinese, Oriental, Bar Food, Beverages",4.0,"₹1,500 for two",4.4,"Vijay Nagar, Indore","Efficient Service, Authentic Flavors, Great Service"
Shree Radhe Radhe Bhojnaliya,"North Indian, Kebab, Biryani",3.5,₹450 for two,5.2,"Khajrana, Indore","Warm Atmosphere, Extensive Mocktail Menu, Hospitality"
Daily Dose Cafe,"Sandwich, Pizza, Burger, Fast Food, Street Food, Shake, Coffee, Beverages",3.3,₹300 for two,2.4,"Manik Bagh Road, Indore","Quantity, Creative Cuisine, Fresh Ingredients"
Millets N More,"North Indian, Chinese, Pizza, Sandwich",New,"₹1,000 for two",8.0,"By Pass Road (South), Indore","Authentic Flavors, Fresh Ingredients, Young Crowd"
MBA Pizza,"Pizza, Pasta, Sandwich, Burger, Fast Food, Chinese, Street Food",2.8,₹350 for two,4.7,"Vijay Nagar, Indore","Customizable Dishes, Flavorful Creations, Local Sourcing"
Ice Balls & Slice Square,"Pizza, Pasta, Sandwich, Fast Food",3.5,₹300 for two,5.2,"Vijay Nagar, Indore","Cozy Ambiance, Memorable Experience, Sophisticated"
Vijay Chaat House,"Street Food, Mithai, Beverages",4.6,₹200 for two,2.8,"New Palasia, Indore","Memorable Experience, Attentive Service, Satisfying Portions"
The Pizza Wheel,Pizza,3.1,₹250 for two,2.8,"Sapna Sangeeta, Indore","Satisfying Portions, Peaceful Ambience, Good Music"
The Burger Company,"Burger, Pizza, Fast Food",-,₹350 for two,5.0,"Vijay Nagar, Indore","Great for Dates, Well-priced Options, Sustainable Practices"
India Junction,"North Indian, Chinese, Fast Food, Shake",3.3,₹800 for two,2.8,"South Tukoganj, Indore","Perfect Place, Great for Dates, Variety of Beer"
Dal Bati Surma,Rajasthani,-,₹600 for two,2.8,"New Palasia, Indore","Hospitality, Peaceful Ambience, Vintage Decor"
Goverdhan - Restaurant and Rooftop Cafe,"North Indian, Chinese, Desserts",3.9,₹700 for two,3.9,"Annapurna Road, Indore","Seasonal Menu, Sustainable Practices, Clean Environment"
Mamaji Namkeen and Sweets,"Mithai, Street Food",3.0,₹200 for two,2.7,"Chhavani, Indore","Delicious Food, Efficient Service, Peaceful Ambience"
City Gymkhana Club,"North Indian, Mughlai, Chinese, Seafood, Kebab, Biryani, Bar Food",4.3,"₹1,200 for two",2.4,"Sapna Sangeeta, Indore","Seasonal Menu, Perfect Place, Clean Environment"
Suffa Restaurant,"North Indian, Chinese, Kebab",3.1,₹500 for two,1.6,"Sarwate Bus Stand, Indore","Clean Environment, Ambience, Brewed Beer"
Bake Affaire,"Cafe, Chinese, Fast Food, Street Food, Beverages",4.3,₹550 for two,2.1,"YN Road, Indore","Friendly Staff, Main Course, Live Sports Screening"
JMB,"Mithai, North Indian, Chinese, Fast Food, Street Food",4.1,₹300 for two,1.9,"Manik Bagh Road, Indore","Trendy Setting, Diverse Menu, Impeccable Presentation"
Bamboo Tree,"North Indian, Mughlai, Chinese, South Indian, Biryani, Fast Food, Beverages",2.9,"₹1,000 for two",7.2,"Vijay Nagar, Indore","Extensive Mocktail Menu, Perfect Place, Local Sourcing"
99 Pancakes,"Pancake, Desserts, Bakery, Cafe, Beverages, Finger Food",4.2,₹350 for two,3.9,"Old Palasia, Indore","Hospitable Staff, Exquisite Taste, Innovative Dishes"
Kolkata Roll - 56 Dukaan,"Chinese, Rolls, Fast Food, Sichuan",3.8,₹300 for two,2.8,"56 Dukan, New Palasia, Indore","Great for Dates, Extensive Mocktail Menu, Local Sourcing"
Malt - Sheraton Grand Palace,"Bar Food, Salad, North Indian, Continental, Beverages",3.9,"₹2,000 for two",9.7,"Sheraton Grand Palace, Indore","Ambience, Satisfying Portions, Authentic Flavors"
Curry & Hurry,"North Indian, Mughlai, Biryani, Chinese, Street Food, Beverages",-,₹700 for two,5.1,"Vijay Nagar, Indore","Efficient Service, Cafe, Cozy Ambiance"
Rooster Club,"Fast Food, Beverages",-,₹400 for two,6.2,"Khajrana, Indore","Clean Environment, Memorable Experience, Hospitable Staff"
Candelas Restaurant,"North Indian, Mughlai, Chinese, Continental, Desserts",3.0,"₹1,000 for two",12.8,"By Pass Road (North), Indore","Variety of Beer, Peaceful Ambience, Efficient Service"
Hotel Kanchan Tilak,"North Indian, Mughlai, Chinese, Kebab, Biryani, Ice Cream, Desserts, Beverages",3.4,"₹1,200 for two",2.9,"New Palasia, Indore","Quantity, Comfortable Seating, Clean Environment"
Punchin,"North Indian, Mughlai, Kebab, Biryani, Chinese, Desserts",4.4,"₹1,000 for two",4.4,"Vijay Nagar, Indore","Ambience, Friendly Staff, Brewed Beer"
Lotus Hut,"Fast Food, Pizza, Sandwich, Street Food, Shake, Beverages",3.9,₹350 for two,2.0,"South Tukoganj, Indore","Variety of Beer, Ambiance, Hospitable Staff"
Balle Balle Restaurant,"North Indian, Chinese",4.0,₹600 for two,3.1,"Sapna Sangeeta, Indore","Extensive Mocktail Menu, Exquisite Taste, Cafe"
Mukki Ke Zayke,"Street Food, Shake, Beverages",4.2,₹250 for two,3.5,"Bhawar Kuan, Indore","Seasonal Menu, Attentive Service, Customizable Dishes"
Bake Affaire,"Bakery, Desserts",-,₹500 for two,5.2,"Vijay Nagar, Indore","Trendy Setting, Peaceful Ambience, Weekend Brunch"
Al-Qasim,"Afghan, Chinese, North Indian, Mughlai",3.8,₹600 for two,1.8,"Sarwate Bus Stand, Indore","Clean Environment, Breakfast, Attentive Service"
Occasion - Hotel Amar Vilas,"North Indian, Mughlai, Biryani, Continental, Seafood, Oriental, Bakery, Desserts",3.9,"₹1,000 for two",4.1,"Hotel Amar Vilas, Press Complex, Indore","Sophisticated, Trendy Setting, Warm Atmosphere"
Shivsagar Patidar Dal Bafle,North Indian,3.9,₹250 for two,5.0,"Khajrana, Indore","Authentic Flavors, Trendy Setting, Sophisticated"
Cafe Coffee Club,"Sandwich, Pizza, Fast Food, Street Food, Ice Cream, Coffee, Beverages",-,₹200 for two,6.9,"Airport Road, Indore","Clean Environment, Exquisite Taste, Ambience"
Guru Restaurant,North Indian,3.9,₹200 for two,2.5,"HIG-LIG, Indore","Authentic Flavors, Delicious Food, Satisfying Portions"
Romba South,"Andhra, South Indian, North Indian, Desserts, Beverages, Pizza, Burger",4.1,₹800 for two,4.2,"Vijay Nagar, Indore","Efficient Service, Cozy Ambiance, Sophisticated"
La Pino'z Pizza,"Pizza, Italian, Fast Food",-,₹450 for two,7.5,"Rajendra Nagar, Indore","Comfortable Seating, Sophisticated, Peaceful Ambience"
Rishi Ka Dhaba,"North Indian, Chinese, Salad, Street Food",3.4,₹450 for two,5.0,"Bhawar Kuan, Indore","Delicious Food, Good Music, Hospitable Staff"
Masala Nation,"North Indian, Chinese",3.8,"₹1,000 for two",9.6,"By Pass Road (South), Indore","Flavorful Creations, Fresh Ingredients, Variety of Beer"
Sizzling Treat - Hotel Crown Palace,"North Indian, Mughlai, Oriental, Continental, Salad, Biryani, Desserts, Beverages",3.7,"₹1,300 for two",2.8,"Hotel Crown Palace, South Tukoganj, Indore","Innovative Dishes, Cafe, Consistent Quality"
Natural Ice Cream,Ice Cream,4.8,₹200 for two,1.8,"RNT Marg, Indore","Inviting Decor, Vintage Decor, Breakfast"
Amrapali Restaurant,"North Indian, South Indian, Salad, Street Food",New,₹300 for two,8.4,"Kumedi, Indore","Well-priced Options, Good Bartenders, Breakfast"
Machan,"North Indian, Mughlai, Seafood",New,"₹1,400 for two",4.3,"Vijay Nagar, Indore","Fresh Ingredients, Warm Atmosphere, Hospitality"
Bombay Mansion,"North Indian, Kebab, Chinese, Biryani",-,"₹1,900 for two",4.3,"Vijay Nagar, Indore","Authentic Flavors, Trendy Setting, Ambience"
Pocket Burger,"Burger, Sandwich, Wraps, Fast Food, Street Food, Shake",2.8,₹300 for two,5.1,"Vijay Nagar, Indore","Perfect Place, Main Course, Local Sourcing"
Hong Kong Chinese Restaurant,"Chinese, Sichuan, Seafood",4.1,₹450 for two,3.1,"Old Palasia, Indore","Extensive Mocktail Menu, Perfect Place, Courteous Staff"
Sai Prasad Bhojanalya,North Indian,4.3,₹300 for two,1.5,"South Tukoganj, Indore","Young Crowd, Ambience, Warm Atmosphere"
Gol Roti Restaurant And Cafe,"North Indian, Chinese, Italian, Sandwich, Burger, Desserts, Shake, Beverages",3.8,₹550 for two,3.0,"Sapna Sangeeta, Indore","Good Bartenders, Weekend Brunch, Local Sourcing"
The Market - Fairfield by Marriott,"Cafe, Coffee, Pizza, Fast Food, Shake, Beverages",3.5,"₹1,000 for two",5.4,"Fairfield By Marriott, Indore","Cozy Ambiance, Young Crowd, Good Bartenders"
Shiva Chinese Wok,"Chinese, North Indian, Momos, Pasta, Biryani, Fast Food, Shake, Beverages",3.8,₹500 for two,7.6,"By Pass Road (North), Indore","Efficient Service, Exquisite Taste, Innovative Dishes"
Cherry Blossom,"Bakery, Desserts, Fast Food, Street Food",3.9,₹400 for two,4.9,"Vijay Nagar, Indore","Trendy Setting, Warm Atmosphere, Creative Cuisine"
Pop's Burger,"Burger, Fast Food, Salad, Shake",4.3,₹400 for two,6.2,"By Pass Road (North), Indore","Satisfying Portions, Warm Atmosphere, Great Service"
Guru Kripa Rau -Since 1987,"North Indian, Chinese, Desserts, Beverages",4.0,₹500 for two,12.7,"Rau, Indore","Trendy Setting, Vintage Decor, Delicious Food"
Mosaic - Country Inn & Suites By Radisson,"North Indian, Mughlai, Seafood, Asian, Oriental, Salad, Desserts, Beverages",3.9,"₹1,000 for two",4.6,"Country Inn & Suites By Radisson, Vijay Nagar, Indore","Sustainable Practices, Delicious Food, Clean Environment"
Al Karam Kitchen,"North Indian, Mughlai, Chinese, Seafood, Salad, Biryani, Desserts",3.6,"₹1,000 for two",2.2,"Chhavani, Indore","Young Crowd, Delicious Food, Weekend Brunch"
Deep The Planet Of Food,"Chinese, Pizza, Pasta, Beverages, Modern Indian, Fast Food",-,"₹1,000 for two",5.1,"Sudama Nagar, Indore","Innovative Dishes, Courteous Staff, Local Sourcing"
La Pino'z Pizza,"Pizza, Pasta, Italian, Fast Food",2.8,₹500 for two,2.9,"South Tukoganj, Indore","Young Crowd, Great Service, Diverse Menu"
The Belgian Waffle Co.,"Waffle, Pancake, Ice Cream, Desserts, Beverages",4.2,₹350 for two,3.8,"Old Palasia, Indore","Vintage Decor, Good Music, Memorable Experience"
Chirmi,"North Indian, Chinese",New,₹400 for two,5.1,"Vijay Nagar, Indore","Clean Environment, Satisfying Portions, Vintage Decor"
Cafe Bake Well,"Chinese, North Indian, Shake, Beverages",3.6,₹400 for two,2.8,"Hotel Crown Palace, South Tukoganj, Indore","Memorable Experience, Perfect Place, Courteous Staff"
The Garden Cafe & Restro,"North Indian, Chinese, Salad, Ice Cream, Desserts, Tea, Coffee, Beverages",2.7,₹500 for two,14.4,"By Pass Road (North), Indore","Great Service, Breakfast, Extensive Mocktail Menu"
Martino'z Pizza,"Pizza, Fast Food, Mexican",3.9,₹400 for two,3.5,"Bhawar Kuan, Indore","Breakfast, Vintage Decor, Friendly Staff"
Lucky Bakers,"Bakery, Sandwich, Pizza, Burger, Fast Food, Beverages",4.2,₹300 for two,4.8,"Sudama Nagar, Indore","Creative Cuisine, Well-priced Options, Flavorful Creations"
Fantasy Bakery And Cafe,"Cafe, Coffee, Beverages, Fast Food, Continental, North Indian, Chinese, Bakery",4.2,"₹1,000 for two",6.1,"By Pass Road (South), Indore","Satisfying Portions, Weekend Brunch, Cafe"
The Papaya Kitchen,"North Indian, Mughlai, Seafood, Continental, Italian, Asian, Desserts, Beverages",4.1,"₹1,000 for two",12.1,"Rau, Indore","Good Bartenders, Perfect Place, Good Music"
Indori Non-Veg Restaurant,"North Indian, Chinese, Mughlai, Kebab, Biryani",3.5,₹500 for two,5.4,"Vijay Nagar, Indore","Perfect Place, Trendy Setting, Breakfast"
Mr. Singh's Pure Veg Restaurant & Cafe,"North Indian, Chinese, Biryani, Desserts, Beverages",-,₹600 for two,5.6,"Vijay Nagar, Indore","Impeccable Presentation, Consistent Quality, Main Course"
The Dhaba Co.,North Indian,-,₹300 for two,4.0,"Press Complex, Indore","Fresh Ingredients, Comfortable Seating, Warm Atmosphere"
A3 Family Restaurant,"North Indian, Chinese, Street Food, Biryani",4.0,₹500 for two,9.3,"Rau, Indore","Consistent Quality, Main Course, Efficient Service"
Shawarma Grill & Momo Station,"Shawarma, Fast Food, Momos, Lebanese, Rolls, Beverages",4.0,₹300 for two,2.2,"Manik Bagh Road, Indore","Clean Environment, Vintage Decor, Staff"
Govardhan Family Restaurant,"North Indian, Chinese",3.5,₹400 for two,12.2,"Rau, Indore","Cozy Ambiance, Extensive Mocktail Menu, Ambiance"
Botany Bistro,"North Indian, Mexican, Continental, Pizza, Pasta, Biryani, Shake, Beverages",New,"₹1,200 for two",9.0,"By Pass Road (North), Indore","Variety of Beer, Impeccable Presentation, Diverse Menu"
Waffle Hut,"Waffle, Pancake, Burger, Sandwich, Pizza, Fast Food, Shake, Beverages",-,₹500 for two,3.9,"Sudama Nagar, Indore","Extensive Mocktail Menu, Efficient Service, Staff"
The Sukoon Cafe,"Beverages, Fast Food",New,₹200 for two,4.6,"Bhawar Kuan, Indore","Trendy Setting, Customizable Dishes, Flavorful Creations"
JMB - Jain Mithai Bhandar,"Mithai, North Indian, South Indian, Chinese, Sandwich, Fast Food, Street Food, Beverages",3.1,₹400 for two,3.3,"HIG-LIG, Indore","Trendy Setting, Ambiance, Perfect Place"
Nakhrali Dhani,"Rajasthani, Chinese",4.1,₹800 for two,11.5,"Rau, Indore","Authentic Flavors, Brewed Beer, Clean Environment"
Punjabi Nation,North Indian,-,₹400 for two,3.5,"Bhawar Kuan, Indore","Perfect Place, Young Crowd, Live Sports Screening"
Courtyard - Crescent Spa & Resorts,"North Indian, Chinese, Continental, Pizza, Desserts, Shake",4.1,₹650 for two,9.5,"Crescent Spa & Resorts, Indore","Breakfast, Young Crowd, Great for Dates"
Khorak Restaurant,"North Indian, Kebab, Chinese, Street Food, Fast Food, Desserts, Beverages",3.9,₹600 for two,5.2,"Annapurna Road, Indore","Local Sourcing, Great Service, Extensive Mocktail Menu"
Keventers - Milkshakes & Desserts,"Shake, Beverages, Desserts",-,₹400 for two,3.1,"Sapna Sangeeta, Indore","Main Course, Ambiance, Vintage Decor"
Ashirwad Bhojnalaya,"Rajasthani, North Indian",4.0,₹250 for two,5.0,"Mangal City Mall, Vijay Nagar, Indore","Good Bartenders, Great Service, Friendly Staff"
Re Pub Liq,Bar Food,4.1,"₹2,200 for two",12.1,"Rau, Indore","Inviting Decor, Sustainable Practices, Great for Dates"
Rajput Dhaba,North Indian,2.9,₹300 for two,12.7,"Rau, Indore","Exquisite Taste, Innovative Dishes, Extensive Mocktail Menu"
Madni Hotel,"North Indian, Mughlai, Chinese, Biryani",3.9,₹500 for two,1.6,"Sarwate Bus Stand, Indore","Young Crowd, Courteous Staff, Vintage Decor"
Ramesh Masala Dosa,"South Indian, Chinese, Street Food, Juices, Shake",4.1,₹300 for two,2.8,"56 Dukan, New Palasia, Indore","Great Service, Efficient Service, Delicious Food"
The Cake Story,"Bakery, Desserts",4.4,₹200 for two,4.2,"Old Palasia, Indore","Delicious Food, Great for Dates, Hospitality"
Peekaboo Pop - Up Cafe,"Tea, Coffee, Shake, Beverages, Pizza, Burger, Street Food",-,₹400 for two,2.8,"New Palasia, Indore","Hospitality, Seasonal Menu, Hospitable Staff"
Shree Balaji Family Restaurant,"North Indian, Chinese, Beverages, Desserts",-,₹400 for two,7.6,"By Pass Road (North), Indore","Hospitality, Brewed Beer, Seasonal Menu"
Veerji Malai Chaap Wale,"North Indian, Rolls, Beverages",3.9,₹500 for two,5.1,"Vijay Nagar, Indore","Quantity, Young Crowd, Exquisite Taste"
Cakesmith's Alley,"Bakery, Chinese, Pizza, Sandwich, Pasta, Fast Food, Desserts, Shake",4.5,₹550 for two,5.1,"Vijay Nagar, Indore","Sustainable Practices, Live Sports Screening, Young Crowd"
Murliwala Restaurant,"North Indian, Chinese",-,₹300 for two,8.4,"Airport Road, Indore","Main Course, Live Sports Screening, Peaceful Ambience"
"Old Kolkata Roll Club ""Since -1996""","Rolls, Chinese, Sichuan, North Indian",4.0,₹300 for two,2.8,"New Palasia, Indore","Exquisite Taste, Efficient Service, Authentic Flavors"
Murliwala Sweets Restaurant,"Mithai, Chinese, Fast Food",4.2,₹250 for two,5.8,"Vijay Nagar, Indore","Inviting Decor, Efficient Service, Flavorful Creations"
Champaran Meat House,North Indian,3.6,₹400 for two,3.4,"Navlakha, Indore","Inviting Decor, Variety of Beer, Perfect Place"
Beyond The Flavors,"Pizza, Sandwich, Fast Food, Chinese, Street Food, Shake",-,₹350 for two,9.1,"Rajendra Nagar, Indore","Brewed Beer, Seasonal Menu, Inviting Decor"
Taj The Agra Junction,"North Indian, South Indian, Street Food, Desserts, Beverages",4.0,₹350 for two,6.7,"By Pass Road (South), Indore","Quantity, Seasonal Menu, Hospitality"
Celebration Cafe And Restaurant,"North Indian, Fast Food, Beverages",3.7,₹300 for two,5.3,"Navlakha, Indore","Impeccable Presentation, Good Bartenders, Efficient Service"
Spice Mantraa,"North Indian, Chinese, Pizza, Beverages",New,₹350 for two,6.4,"By Pass Road (North), Indore","Trendy Setting, Efficient Service, Good Bartenders"
The Gravity Inn,"North Indian, Chinese",-,₹300 for two,10.1,"Rau, Indore","Friendly Staff, Innovative Dishes, Impeccable Presentation"
Kiev Restro Bar,"North Indian, Chinese, Continental, Seafood, Biryani, Bar Food, Desserts, Beverages",New,"₹1,000 for two",6.9,"Vijay Nagar, Indore","Efficient Service, Variety of Beer, Trendy Setting"
Hiku Cafe,"Sandwich, Burger, Pizza, Fast Food, Street Food, Desserts, Shake, Beverages",-,₹350 for two,4.3,"Bhawar Kuan, Indore","Peaceful Ambience, Hospitable Staff, Exquisite Taste"
The Secret Table,"North Indian, Asian",3.8,"₹1,100 for two",9.4,"By Pass Road (North), Indore","Weekend Brunch, Satisfying Portions, Peaceful Ambience"
PFJ - Punjabi Food Junction,"North Indian, Chinese, Pizza, Burger, Rolls, Fast Food, Biryani",4.0,₹500 for two,4.4,"Bhawar Kuan, Indore","Customizable Dishes, Great Service, Peaceful Ambience"
Uncle Peter's Pancake & Cafe,"Pancake, Waffle, Desserts, French, Sandwich, Fast Food, Shake, Beverages",3.9,₹450 for two,3.2,"Geeta Bhavan, Indore","Hospitality, Seasonal Menu, Innovative Dishes"
Anand Bhojnalay,Rajasthani,4.1,₹250 for two,3.9,"Old Palasia, Indore","Courteous Staff, Diverse Menu, Live Sports Screening"
Burger Headquarter,"Burger, Wraps",New,₹300 for two,5.5,"Vijay Nagar, Indore","Seasonal Menu, Hospitable Staff, Great for Dates"
99 Thaliwala,North Indian,2.8,₹200 for two,2.9,"HIG-LIG, Indore","Main Course, Exquisite Taste, Impeccable Presentation"
Munch N Mime,"Fast Food, Pizza, Sandwich, Chinese, Street Food, Coffee, Shake, Beverages",New,₹350 for two,2.8,"Geeta Bhavan, Indore","Well-priced Options, Cozy Ambiance, Brewed Beer"
Atul Sandwich & Cafe,"Sandwich, Fast Food, North Indian, Chinese, Street Food, Shake, Beverages",4.3,₹300 for two,3.6,"Old Palasia, Indore","Perfect Place, Live Sports Screening, Local Sourcing"
Shri Chai Chowk,"Tea, Shake, Beverages, Sandwich, Pizza, Burger, Street Food, Fast Food",New,₹200 for two,4.0,"Sudama Nagar, Indore","Ambiance, Vintage Decor, Extensive Mocktail Menu"
Saju Chef's Biryani,"Biryani, North Indian, Mughlai",4.0,₹350 for two,3.9,"Old Palasia, Indore","Brewed Beer, Memorable Experience, Comfortable Seating"
The Great Indian Dhaba,"North Indian, Mughlai, Chinese",-,"₹1,000 for two",9.6,"Ralamandal, Indore","Impeccable Presentation, Sophisticated, Good Bartenders"
